nationality,period,people,period_start,period_end,period_type,classification,source_table,note,source_id,source_publication_date,source_url,retrieved_at,review_status
Somalia,2019,0,2019-01-01,2019-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Somalia,2020,14,2020-01-01,2020-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Somalia,2021,318,2021-01-01,2021-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Somalia,2022,86,2022-01-01,2022-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Somalia,2023,248,2023-01-01,2023-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Somalia,2024,697,2024-01-01,2024-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Somalia,2025,3806,2025-01-01,2025-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Somalia,Year ending June 2025,2221,2024-07-01,2025-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Somalia,Year ending June 2026,3901,2025-07-01,2026-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Iran,2018,238,2018-01-01,2018-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Iran,2019,1213,2019-01-01,2019-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Iran,2020,2373,2020-01-01,2020-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Iran,2021,8319,2021-01-01,2021-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Iran,2022,5841,2022-01-01,2022-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Iran,2023,3582,2023-01-01,2023-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Iran,2024,4214,2024-01-01,2024-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Iran,2025,4505,2025-01-01,2025-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Iran,Year ending June 2025,4319,2024-07-01,2025-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Iran,Year ending June 2026,3657,2025-07-01,2026-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Ethiopia,2018,0,2018-01-01,2018-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Ethiopia,2019,5,2019-01-01,2019-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Ethiopia,2020,108,2020-01-01,2020-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Ethiopia,2021,544,2021-01-01,2021-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
